ID,birthdate,sex_at_birth,country,environment,SES
P00093,1986-03-22,Male,New Zealand,Urban,medium
P00094,2005-05-09,Male,Egypt,Urban,low
P00095,1990-01-23,Male,United Kingdom,Rural,medium
P00096,1999-04-06,Female,France,Urban,low
P00097,1987-04-29,Female,Fiji,Rural,medium
P00098,1993-01-12,Female,Australia,Rural,high
P00099,2001-11-05,Male,India,Urban,medium
P00100,2005-06-29,Male,Japan,Urban,medium
P00101,1994-05-27,Male,France,Urban,medium
P00102,1997-07-25,Male,Australia,Urban,low
P00103,1988-12-19,Female,Egypt,Rural,high
P00104,1984-06-01,Female,Fiji,Urban,high
P00105,2001-03-18,Female,Canada,Rural,high
P00106,1993-01-07,Male,Egypt,Rural,medium
P00107,1982-08-30,Female,Nigeria,Urban,medium
P00108,1988-10-01,Male,China,Rural,high
P00109,2004-12-03,Male,Nigeria,Urban,high
P00110,1987-10-10,Female,Brazil,Urban,low
P00111,1987-02-14,Male,Mexico,Rural,medium
P00112,2004-02-15,Female,Canada,Urban,medium
P00113,2004-02-29,Female,Egypt,Urban,medium
P00114,1993-12-19,Male,Colombia,Rural,low
P00115,1990-07-14,Female,Colombia,Urban,low
P00116,1986-09-20,Female,Fiji,Urban,medium
P00117,2001-02-25,Male,Argentina,Urban,high
P00118,2005-03-31,Male,Nigeria,Urban,high
P00119,1984-01-27,Female,Nigeria,Urban,high
P00120,1999-04-17,Male,Fiji,Urban,medium
P00121,1981-06-11,Male,South Africa,Rural,medium
P00122,1982-09-28,Male,Japan,Rural,high
P00123,1988-07-16,Male,South Africa,Urban,high
P00124,2007-11-23,Male,Japan,Rural,medium
P00125,1996-07-04,Male,South Africa,Rural,high
P00126,1991-12-09,Female,Argentina,Urban,high
P00127,1996-12-04,Female,New Zealand,Urban,high
P00128,1994-05-24,Female,China,Urban,medium
P00129,1999-07-19,Male,India,Rural,medium
P00130,1989-07-06,Male,Fiji,Urban,medium
P00131,2006-08-11,Female,United Kingdom,Urban,medium
P00132,1988-09-21,Female,Egypt,Urban,medium
P00133,1992-06-05,Female,Australia,Rural,medium
P00134,1993-08-27,Female,Nigeria,Urban,medium
P00135,1991-03-29,Female,France,Rural,high
P00136,1989-09-04,Male,New Zealand,Urban,medium
P00137,1999-02-22,Female,Argentina,Urban,low
P00138,1990-09-16,Female,Nigeria,Rural,low
P00139,1984-02-25,Male,New Zealand,Urban,low
P00140,1990-10-05,Female,New Zealand,Urban,medium
P00141,1996-07-15,Male,Mexico,Urban,medium
P00142,2002-07-09,Male,Fiji,Urban,medium
P00143,1990-10-18,Female,New Zealand,Urban,low
P00144,1993-02-19,Female,France,Urban,low
P00145,1992-01-10,Female,Brazil,Urban,medium
P00146,1993-09-09,Male,United Kingdom,Urban,medium
P00147,1989-11-26,Female,Japan,Urban,low
P00148,2007-11-03,Female,Fiji,Rural,high
P00149,1996-02-12,Female,United Kingdom,Urban,high
P00150,1984-07-16,Male,Argentina,Urban,high
P00151,1986-07-08,Male,Argentina,Rural,medium
P00152,1984-11-06,Male,Australia,Urban,medium
P00153,1989-10-01,Female,Japan,Rural,medium
P00154,2000-10-18,Female,Germany,Rural,medium
P00155,1988-02-22,Female,Colombia,Urban,low
P00156,1993-10-13,Female,Germany,Rural,medium
P00157,2002-05-06,Female,Japan,Urban,medium
P00158,2003-02-15,Female,United Kingdom,Urban,medium
P00159,1991-12-15,Female,Argentina,Urban,low
P00160,1981-01-02,Male,China,Rural,medium
P00161,2005-04-07,Female,Nigeria,Urban,medium
P00162,2002-05-26,Female,South Africa,Rural,high
P00163,2005-07-16,Female,Egypt,Urban,high
P00164,2005-06-16,Female,United Kingdom,Urban,high
P00165,1987-05-06,Female,China,Urban,medium
P00166,2005-05-11,Female,Argentina,Rural,high
P00167,2005-04-06,Female,Argentina,Rural,high
P00168,1996-07-23,Male,Colombia,Urban,low
P00169,1993-06-06,Female,Mexico,Urban,medium
P00170,2008-08-05,Male,New Zealand,Urban,medium
P00171,2002-02-26,Male,United Kingdom,Urban,medium
P00172,1989-12-14,Male,Nigeria,Rural,low
P00173,1995-01-17,Female,Japan,Rural,low
P00174,1984-05-09,Female,Brazil,Rural,low
P00175,1997-01-21,Male,Germany,Urban,medium
P00176,1986-04-29,Female,Brazil,Rural,medium
P00177,2002-01-13,Female,Egypt,Urban,high
P00178,1992-09-16,Male,New Zealand,Rural,medium
P00179,2005-06-26,Male,Egypt,Urban,medium
P00180,1995-10-18,Male,India,Urban,high
P00181,1997-02-09,Female,China,Urban,medium
P00182,1982-04-08,Male,Fiji,Rural,medium
P00183,1999-06-24,Male,South Africa,Urban,medium
P00184,2007-02-02,Male,Japan,Urban,high
P00185,1986-11-02,Male,Mexico,Urban,medium
P00186,1991-11-02,Male,India,Urban,high
P00187,1994-11-28,Female,India,Urban,high
P00188,2004-01-17,Male,Australia,Rural,low
P00189,2006-07-06,Female,France,Rural,medium
P00190,1993-07-21,Female,South Africa,Urban,high
P00191,1991-03-23,Female,Brazil,Rural,medium
P00192,2000-05-06,Female,Colombia,Urban,low
P00193,1997-09-13,Male,India,Urban,high
P00194,1989-05-29,Female,Nigeria,Rural,low
P00195,2008-06-29,Male,Brazil,Urban,medium
P00196,2008-02-09,Male,Argentina,Urban,medium
P00197,2006-10-19,Male,Mexico,Urban,low
P00198,2006-06-19,Male,Canada,Urban,medium
P00199,1986-05-08,Male,Egypt,Urban,high
P00200,1992-08-19,Female,Nigeria,Urban,medium
P00201,2000-06-14,Female,Australia,Rural,medium
P00202,1997-07-05,Male,France,Urban,high
P00203,1981-02-18,Female,Australia,Rural,high
P00204,1981-06-05,Female,France,Urban,high
P00205,2007-10-14,Female,New Zealand,Urban,medium
P00206,1987-01-27,Male,South Africa,Rural,medium
P00207,1993-01-05,Male,India,Urban,low
P00208,1992-08-14,Female,Australia,Urban,medium
P00209,1988-07-29,Male,Australia,Urban,medium
P00210,1997-04-25,Female,South Africa,Urban,low
P00211,1989-09-20,Male,South Africa,Urban,medium
P00212,2000-09-12,Male,Egypt,Rural,medium
P00213,1988-04-07,Female,Japan,Urban,medium
P00214,1988-05-16,Female,Canada,Rural,high
P00215,2003-02-18,Male,India,Urban,medium
P00216,1991-02-15,Female,Canada,Rural,low
P00217,1994-09-12,Female,Nigeria,Urban,medium
P00218,1994-03-21,Male,Australia,Rural,medium
P00219,1991-10-20,Female,Brazil,Urban,medium
P00220,2008-05-13,Male,Egypt,Urban,high
P00221,1986-04-23,Male,France,Urban,low
P00222,2006-10-25,Male,South Africa,Urban,medium
P00223,1995-10-26,Female,South Africa,Urban,medium
P00224,2001-10-16,Female,Mexico,Rural,medium
P00225,2006-02-15,Female,Fiji,Urban,high
P00226,1987-10-22,Female,Colombia,Rural,medium
P00227,1997-04-13,Male,Mexico,Urban,medium
P00228,1993-12-04,Female,United States,Urban,low
P00229,1982-06-26,Female,South Africa,Urban,high
P00230,1999-09-26,Female,Canada,Urban,medium
P00231,2000-06-19,Female,United States,Rural,low
P00232,1990-12-10,Female,United States,Urban,medium
P00233,1995-04-22,Female,France,Urban,low
P00234,1995-07-28,Female,Brazil,Urban,low
P00235,2001-08-21,Male,France,Rural,high
P00236,1986-05-29,Male,Brazil,Urban,high
P00237,1998-11-22,Male,Fiji,Urban,medium
P00238,1993-04-21,Female,Fiji,Urban,high
P00239,1998-07-22,Male,Australia,Rural,medium
P00240,1996-06-12,Female,Japan,Urban,medium
P00241,2000-12-15,Female,Egypt,Urban,medium
P00242,1985-06-13,Female,Brazil,Rural,high
P00243,1990-03-13,Female,Nigeria,Urban,medium
P00244,1994-07-26,Female,Fiji,Rural,medium
P00245,1985-01-27,Male,Australia,Urban,medium
P00246,1983-05-18,Male,Nigeria,Urban,low
P00247,2004-06-16,Female,Germany,Urban,medium
P00248,2004-03-12,Male,France,Urban,low
P00249,2000-05-18,Male,Brazil,Rural,low
P00250,1983-09-08,Male,Colombia,Urban,medium
P00251,1996-02-15,Female,France,Urban,medium
P00252,2005-05-21,Male,Nigeria,Urban,high
P00253,2003-05-31,Male,United States,Urban,low
P00254,1995-08-20,Female,Japan,Urban,medium
P00255,2007-03-09,Male,China,Rural,medium
P00256,2008-06-04,Male,New Zealand,Urban,low
P00257,1982-08-28,Male,Brazil,Urban,medium
P00258,1986-01-02,Female,Mexico,Rural,low
P00259,1991-10-11,Male,Canada,Urban,medium
P00260,2001-08-09,Male,Fiji,Urban,high
P00261,1992-01-15,Female,Nigeria,Urban,high
P00262,1988-09-13,Female,New Zealand,Urban,low
P00263,1993-12-26,Male,Egypt,Rural,high
P00264,1997-02-18,Female,Mexico,Rural,medium
P00265,1983-07-17,Male,Brazil,Rural,high
P00266,1983-09-05,Female,United States,Urban,medium
P00267,1989-03-02,Male,Nigeria,Urban,low
P00268,1996-01-20,Female,Fiji,Rural,medium
P00269,1983-12-14,Female,Japan,Rural,high
P00270,1998-11-18,Male,Germany,Rural,low
P00271,2007-12-09,Male,Colombia,Urban,medium
P00272,2001-03-16,Male,Brazil,Rural,high
P00273,1999-11-13,Male,Mexico,Urban,medium
P00274,1990-02-19,Male,Brazil,Urban,low
P00275,2006-08-11,Male,Colombia,Rural,medium
P00276,1991-05-11,Female,United Kingdom,Rural,low
P00277,1992-02-12,Male,New Zealand,Rural,medium
P00278,2007-05-09,Female,Germany,Urban,low
P00279,1991-03-20,Male,Colombia,Rural,low
P00280,1981-12-01,Female,United States,Urban,high
P00281,2006-11-28,Male,Egypt,Rural,medium
P00282,1998-03-07,Female,India,Urban,low
P00283,2006-08-23,Male,India,Urban,medium
P00284,1995-03-09,Male,Canada,Urban,medium
P00285,1995-01-27,Female,Nigeria,Urban,medium
P00286,1994-01-30,Male,United Kingdom,Urban,low
P00287,2001-08-05,Male,United Kingdom,Urban,medium
P00288,2006-02-13,Male,New Zealand,Urban,medium
P00289,1993-08-30,Male,New Zealand,Rural,medium
P00290,2006-10-23,Female,Egypt,Rural,medium
P00291,2001-02-06,Male,United Kingdom,Urban,medium
P00292,1998-07-27,Male,Mexico,Urban,low
P00293,1981-04-04,Female,Fiji,Urban,medium
P00294,1998-04-24,Male,Nigeria,Urban,low
P00295,2008-12-31,Male,Mexico,Urban,low
P00296,1987-06-10,Male,Canada,Rural,low
P00297,1994-10-29,Male,Fiji,Urban,medium
P00298,1997-04-22,Female,United States,Urban,medium
P00299,2004-09-21,Female,Mexico,Urban,medium
P00300,2007-03-07,Female,Brazil,Rural,medium
P00301,2006-11-12,Female,Germany,Rural,high
P00302,1996-01-08,Male,Colombia,Urban,medium
P00303,1989-09-23,Male,United States,Rural,low
P00304,1998-02-12,Female,New Zealand,Urban,low
P00305,1982-08-24,Male,United Kingdom,Urban,medium
P00306,1990-11-23,Male,Mexico,Urban,high
P00307,1986-11-21,Female,India,Urban,medium
P00308,2005-06-30,Male,China,Urban,medium
P00309,1984-07-05,Male,Japan,Urban,medium
P00310,1991-12-20,Female,Nigeria,Rural,medium
P00311,2001-09-13,Male,Argentina,Rural,medium
P00312,2006-09-26,Female,France,Urban,medium
P00313,1994-07-10,Male,China,Urban,medium
P00314,2007-04-20,Male,France,Rural,medium
P00315,2008-06-02,Male,Fiji,Urban,high
P00316,1981-07-16,Male,India,Rural,low
P00317,2008-01-09,Male,United States,Urban,medium
P00318,1984-04-30,Male,Egypt,Rural,high
P00319,1990-12-10,Female,Fiji,Rural,medium
P00320,1984-05-01,Male,Brazil,Rural,medium
P00321,1996-03-07,Male,Brazil,Rural,medium
P00322,2008-09-17,Female,Colombia,Urban,low
P00323,1983-12-09,Female,France,Rural,medium
P00324,1999-01-30,Male,United States,Rural,medium
P00325,1995-01-29,Female,United Kingdom,Urban,high
P00326,1991-07-08,Male,Australia,Rural,low
P00327,1996-01-19,Male,Australia,Urban,low
P00328,2003-10-16,Female,New Zealand,Urban,low
P00329,2007-10-26,Female,Colombia,Rural,medium
P00330,1986-10-02,Female,Germany,Urban,high
P00331,1983-12-19,Female,Japan,Urban,low
P00332,2000-02-11,Female,Japan,Urban,medium
P00333,1988-07-12,Female,South Africa,Urban,medium
P00334,2007-05-04,Female,Egypt,Urban,medium
P00335,1998-01-22,Female,Egypt,Rural,medium
P00336,1981-08-16,Male,Germany,Urban,low
P00337,1986-08-03,Male,Australia,Urban,medium
P00338,1985-05-12,Female,Mexico,Urban,medium
P00339,1984-04-12,Female,Nigeria,Urban,low
P00340,1992-03-22,Male,United States,Rural,medium
P00341,1982-08-30,Female,Germany,Rural,high
P00342,1998-03-14,Female,Germany,Urban,high
P00343,1993-07-13,Male,Argentina,Urban,medium
P00344,2008-10-17,Male,India,Urban,medium
P00345,2005-09-04,Female,France,Urban,medium
P00346,2000-03-14,Female,Brazil,Urban,high
P00347,1997-08-30,Male,France,Urban,low
P00348,1985-11-09,Female,Colombia,Rural,medium
P00349,2005-05-14,Male,Canada,Urban,high
P00350,1985-02-07,Female,Germany,Urban,medium
P00351,1989-01-31,Female,United States,Urban,low
P00352,1989-08-25,Male,Argentina,Urban,medium
P00353,1987-12-19,Male,Germany,Urban,medium
P00354,1987-03-16,Male,Mexico,Urban,medium
P00355,1998-09-24,Male,Mexico,Rural,low
P00356,1981-04-20,Male,Egypt,Rural,low
P00357,1984-02-17,Female,Japan,Urban,high
P00358,1982-09-11,Male,Fiji,Rural,low
P00359,2005-06-02,Female,Australia,Rural,medium
P00360,1981-01-27,Female,Canada,Urban,high
P00361,2005-01-18,Male,Germany,Rural,high
P00362,1984-02-08,Female,Japan,Urban,medium
P00363,1985-10-19,Male,Canada,Urban,medium
P00364,2000-05-08,Male,New Zealand,Urban,medium
P00365,1993-08-28,Female,Japan,Urban,medium
P00366,2007-02-06,Male,India,Rural,medium
P00367,1992-12-11,Male,Australia,Urban,medium
P00368,1996-01-07,Female,Mexico,Urban,high
P00369,1991-01-06,Female,France,Rural,low
P00370,1987-12-16,Male,South Africa,Rural,high
P00371,1997-05-03,Female,Egypt,Urban,low
P00372,1990-05-02,Female,China,Urban,medium
P00373,1986-11-18,Female,Mexico,Urban,high
P00374,1985-09-30,Female,Nigeria,Urban,low
P00375,1990-08-31,Male,New Zealand,Urban,high
P00376,1983-10-17,Female,Brazil,Urban,medium
P00377,1984-05-20,Male,Australia,Urban,low
P00378,1985-03-15,Male,China,Rural,medium
P00379,1985-06-04,Female,Mexico,Rural,high
P00380,1999-04-08,Male,United States,Urban,medium
P00381,1997-01-31,Female,France,Urban,medium
P00382,2000-01-29,Male,Egypt,Urban,medium
P00383,1994-04-01,Male,Argentina,Urban,low
P00384,1996-06-12,Female,New Zealand,Rural,low
P00385,2008-01-02,Male,Australia,Rural,medium
P00386,1983-07-14,Male,Brazil,Urban,medium
P00387,1996-11-23,Female,Australia,Urban,medium
P00388,1992-08-24,Male,Fiji,Rural,high
P00389,2000-05-25,Male,Nigeria,Rural,low
P00390,1984-06-04,Male,Nigeria,Urban,medium
P00391,1999-05-04,Male,United Kingdom,Rural,low
P00392,1992-06-25,Female,Fiji,Rural,low
P00393,2001-10-13,Male,France,Urban,high
P00394,1994-06-17,Female,Japan,Urban,medium
P00395,1995-08-08,Female,Colombia,Rural,medium
P00396,1984-08-25,Female,Colombia,Urban,high
P00397,1999-09-10,Male,India,Urban,medium
P00398,2003-04-01,Male,Germany,Urban,low
P00399,1983-04-06,Female,Fiji,Urban,high
P00400,1998-12-26,Female,India,Rural,medium
P00401,1992-02-28,Female,Japan,Rural,low
P00402,1985-01-07,Female,United Kingdom,Urban,low
P00403,2008-02-09,Male,Mexico,Rural,medium
P00404,1996-04-17,Male,Egypt,Urban,medium
P00405,1994-04-09,Male,France,Urban,low
P00406,1983-11-23,Male,United Kingdom,Urban,medium
P00407,1991-11-23,Male,Mexico,Urban,medium
P00408,1996-11-22,Female,United States,Urban,medium
P00409,1987-09-12,Female,Colombia,Rural,high
P00410,1986-07-15,Female,Australia,Urban,medium
P00411,1995-11-04,Female,China,Urban,medium
P00412,2006-12-07,Female,Canada,Rural,low
P00413,1998-03-02,Male,Japan,Urban,high
P00414,2004-12-04,Female,Brazil,Urban,low
P00415,1985-04-30,Female,France,Rural,medium
P00416,1989-10-21,Female,Brazil,Urban,medium
P00417,2003-05-24,Male,Brazil,Rural,low
P00418,2004-01-29,Male,France,Rural,medium
P00419,1995-09-13,Female,India,Urban,medium
P00420,1994-04-23,Female,India,Urban,low
P00421,2004-10-21,Male,South Africa,Urban,high
P00422,2003-05-18,Female,Nigeria,Urban,low
P00423,1989-09-09,Male,Japan,Rural,medium
P00424,2000-06-21,Female,Egypt,Urban,medium
P00425,2003-01-23,Female,South Africa,Urban,medium
P00426,2003-09-09,Female,United States,Urban,low
P00427,1997-07-28,Male,France,Rural,medium
P00428,1989-04-19,Male,Colombia,Rural,low
P00429,1987-03-31,Male,Colombia,Urban,low
P00430,1983-10-15,Male,Canada,Urban,high
P00431,1981-11-27,Male,France,Urban,medium
P00432,1984-03-30,Male,China,Rural,medium
P00433,1989-08-06,Female,United States,Urban,low
P00434,1994-06-25,Male,Egypt,Rural,low
P00435,1993-11-24,Female,United Kingdom,Rural,medium
P00436,2004-10-09,Male,United States,Rural,medium
P00437,2003-10-22,Female,Fiji,Urban,high
P00438,2005-05-18,Male,Germany,Rural,high
P00439,1989-04-24,Male,United Kingdom,Urban,low
P00440,2005-04-21,Female,United States,Rural,medium
P00441,1989-08-22,Female,United Kingdom,Urban,low
P00442,1991-04-25,Female,Argentina,Urban,low
P00443,2003-06-14,Male,United Kingdom,Urban,high
P00444,2005-10-17,Female,Australia,Urban,medium
P00445,2003-02-01,Female,Nigeria,Urban,medium
P00446,1992-07-02,Female,Argentina,Urban,low
P00447,1992-09-11,Male,Canada,Rural,low
P00448,2002-03-26,Male,Colombia,Urban,low
P00449,1999-04-10,Male,Japan,Urban,medium
P00450,2008-08-13,Male,Egypt,Rural,high
P00451,1995-11-15,Male,France,Urban,medium
P00452,1996-12-29,Female,Fiji,Urban,low
P00453,2005-06-28,Female,Argentina,Urban,low
P00454,2000-08-10,Female,Brazil,Urban,medium
P00455,1994-04-10,Male,Mexico,Urban,low
P00456,1987-05-01,Female,India,Urban,medium
P00457,2006-07-18,Female,Canada,Urban,medium
P00458,1989-12-23,Female,Germany,Urban,medium
P00459,1986-01-27,Female,South Africa,Urban,low
P00460,2003-11-16,Female,Germany,Rural,high
P00461,1996-09-22,Female,New Zealand,Urban,medium
P00462,2006-04-27,Male,Nigeria,Rural,medium
P00463,2004-12-23,Male,Brazil,Rural,high
P00464,1982-05-05,Female,Colombia,Urban,low
P00465,1990-07-22,Female,Germany,Urban,medium
P00466,2007-07-27,Male,Germany,Rural,medium
P00467,2006-04-06,Female,Mexico,Rural,low
P00468,1982-08-12,Male,France,Urban,high
P00469,1987-09-12,Female,India,Rural,medium
P00470,1998-07-10,Male,Australia,Rural,medium
P00471,2004-05-17,Male,China,Rural,medium
P00472,1982-12-23,Male,United States,Urban,medium
P00473,2007-12-16,Male,Fiji,Urban,medium
P00474,1981-09-30,Female,Nigeria,Urban,low
P00475,2003-07-15,Male,Germany,Urban,medium
P00476,2008-12-25,Male,Fiji,Rural,medium
P00477,2004-07-28,Female,China,Urban,medium
P00478,1992-10-09,Female,Fiji,Urban,medium
P00479,2003-11-16,Male,Japan,Rural,medium
P00480,1988-05-31,Female,Colombia,Urban,high
P00481,2004-09-22,Male,South Africa,Urban,medium
P00482,2006-02-15,Female,United Kingdom,Urban,low
P00483,1993-08-21,Male,Canada,Urban,medium
P00484,2001-05-19,Male,Germany,Urban,low
P00485,2005-04-04,Male,India,Rural,medium
P00486,1984-10-21,Male,India,Rural,high
P00487,1998-02-01,Female,New Zealand,Urban,medium
P00488,1985-09-16,Male,India,Urban,high
P00489,2007-10-05,Male,United States,Urban,low
P00490,2007-03-02,Male,Mexico,Urban,medium
P00491,1994-04-18,Male,United Kingdom,Urban,medium
P00492,2006-03-12,Male,India,Urban,low
P00493,2007-11-26,Female,New Zealand,Rural,low
P00494,1986-10-18,Male,Australia,Rural,low
P00495,1984-12-20,Female,Argentina,Urban,high
P00496,1984-07-06,Female,Nigeria,Urban,medium
P00497,1986-08-28,Male,India,Urban,medium
P00498,1981-08-30,Female,Egypt,Urban,medium
P00499,2001-09-12,Male,Japan,Rural,high
P00500,2001-12-17,Male,France,Urban,medium
P00501,1995-06-04,Female,Nigeria,Urban,high
P00502,1986-01-17,Male,Argentina,Urban,medium
P00503,1988-06-14,Female,Canada,Urban,high
P00504,2006-12-28,Female,Egypt,Urban,low
P00505,2003-12-03,Female,Nigeria,Urban,medium
P00506,1989-05-29,Female,Egypt,Rural,high
P00507,1989-08-21,Male,Canada,Urban,high
P00508,1983-01-17,Male,Australia,Urban,high
P00509,1991-01-14,Male,Fiji,Urban,high
P00510,2008-05-26,Female,Egypt,Urban,low
P00511,1983-07-27,Male,France,Urban,low
P00512,2001-01-20,Female,China,Urban,medium
P00513,1996-02-29,Female,China,Urban,medium
P00514,1999-12-26,Female,India,Rural,high
P00515,1983-06-19,Male,United States,Urban,medium
P00516,1981-08-24,Male,Brazil,Urban,medium
P00517,1987-08-20,Female,India,Urban,medium
P00518,1991-03-21,Female,Nigeria,Rural,low
P00519,1994-02-08,Male,Brazil,Urban,medium
P00520,1993-01-08,Male,South Africa,Rural,medium
P00521,1988-01-13,Male,Canada,Rural,low
P00522,2005-09-14,Male,New Zealand,Urban,medium
P00523,1985-09-22,Male,France,Urban,low
P00524,1999-04-11,Male,United States,Rural,low
P00525,1992-04-09,Female,United States,Urban,medium
P00526,1984-10-18,Female,India,Rural,low
P00527,1983-08-17,Male,Germany,Urban,low
P00528,1987-12-15,Female,United States,Urban,medium
P00529,1987-08-17,Male,Egypt,Urban,medium
P00530,1991-11-19,Female,New Zealand,Urban,medium
P00531,1989-08-30,Female,China,Urban,medium
P00532,1993-05-13,Female,New Zealand,Urban,medium
P00533,1999-09-24,Male,Germany,Urban,medium
P00534,1991-12-16,Female,France,Rural,low
P00535,1996-11-03,Male,France,Urban,medium
P00536,1992-05-15,Female,Germany,Urban,low
P00537,2002-08-11,Female,Mexico,Urban,high
P00538,1984-06-09,Male,Nigeria,Urban,medium
P00539,1994-05-31,Male,Egypt,Urban,medium
P00540,2008-02-22,Male,Australia,Urban,medium
P00541,2002-04-18,Female,United States,Urban,high
P00542,1994-06-06,Female,Argentina,Rural,medium
P00543,1981-12-14,Female,New Zealand,Urban,medium
P00544,2004-07-04,Female,Japan,Urban,medium
P00545,1988-12-21,Male,Egypt,Rural,medium
P00546,1998-07-10,Male,Mexico,Urban,medium
P00547,1995-03-13,Female,India,Urban,medium
P00548,1991-01-10,Female,Germany,Urban,low
P00549,1986-04-03,Male,Brazil,Urban,low
P00550,2003-08-03,Male,Fiji,Urban,low
P00551,2002-09-12,Female,New Zealand,Urban,low
P00552,2004-09-28,Male,Egypt,Urban,medium
P00553,2006-03-05,Male,South Africa,Rural,medium
P00554,1993-08-12,Male,New Zealand,Urban,low
P00555,1998-04-03,Female,Japan,Rural,low
P00556,1987-08-16,Female,Argentina,Urban,low
P00557,2008-02-01,Male,Australia,Urban,medium
P00558,1983-01-27,Male,China,Urban,low
P00559,1993-03-08,Female,South Africa,Rural,high
